epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6811,3.72133,7.8233,5.79224,4.21792,0.85905,0.85819,0.84984,2e-05,0.09375,2e-05,1e-05,0,0,0,0,3.65487,5.20804,5.0316,4.15839,0,0,0,0.00012495,0.00012495,0.00012495
2,37.0511,3.74719,6.61846,5.74519,4.19069,0.85368,0.85367,0.84445,9e-05,0.00662,0,0,0,0,0,0,3.65756,5.19235,5.02694,4.15562,0,0,0,0.000257804,0.000257804,0.000257804
3,52.6877,3.87839,5.88094,5.68428,4.18016,0.84596,0.84683,0.83808,5e-05,0.00161,0,0,0,0,0,0,3.66116,5.15616,4.97153,4.14699,0,0,0,0.000390218,0.000390218,0.000390218
4,68.2469,3.71243,5.46752,5.5652,4.16319,0.83565,0.83854,0.83027,9e-05,0.01003,0,0,5e-05,0.00181,0,0,3.65924,5.08747,4.86383,4.13143,0,0,0,0.000522192,0.000522192,0.000522192
5,83.8459,3.75608,5.03729,5.53917,4.13328,0.82307,0.82871,0.81973,7e-05,0.00241,0,0,0.0001,0.00862,0,0,3.64249,4.85996,4.76615,4.0988,0,0,0,0.000653727,0.000653727,0.000653727
6,99.0918,3.73591,4.66738,5.51009,4.08694,0.80834,0.81494,0.80764,9e-05,0.00562,2e-05,0,0.00012,0.01103,1e-05,0,3.66826,4.39501,4.69186,4.02825,0,0,0,0.000784821,0.000784821,0.000784821
7,115.12,3.74243,4.64895,5.41441,4.04963,0.79372,0.80316,0.79463,9e-05,0.00783,1e-05,0,8e-05,0.00722,1e-05,0,3.68998,4.40743,4.73915,3.97843,0,0,0,0.000824753,0.000824753,0.000824753
8,130.757,3.78319,4.46969,5.46644,4.00962,0.78064,0.78972,0.781,9e-05,0.00923,1e-05,0,0.00015,0.03887,0.00046,5e-05,3.68736,4.42529,5.05472,4.03076,0,0,0,0.000823379,0.000823379,0.000823379
9,146.633,3.68753,4.40984,5.36712,3.9551,0.76527,0.77399,0.7655,0.0002,0.04706,3e-05,1e-05,7e-05,0.00562,1e-05,0,3.64852,4.97173,4.97218,3.98115,0,0,0,0.000822004,0.000822004,0.000822004
10,162.033,3.61894,4.4762,5.24481,3.85833,0.75026,0.75769,0.75025,0.00012,0.00903,2e-05,0,0.00013,0.03867,2e-05,0,3.51112,4.62415,5.07969,4.0169,0,0,0,0.00082063,0.00082063,0.00082063
