epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8249,3.7176,6.38851,5.42763,3.92158,0.65308,0.64886,0.64702,0,0,0,0,0,0,0,0,3.75626,4.74341,5.29651,3.7587,0,0,0,0.00031,0.00031,0.06931
2,48.9732,3.72064,4.80021,5.15506,3.73918,0.56489,0.55569,0.55461,0,0,0,0,0,0,0,0,3.78062,4.38124,5.22626,3.6722,0,0,0,0.000629846,0.000629846,0.0376298
3,73.2176,3.80879,4.5838,5.0635,3.68511,0.5478,0.53633,0.53676,9e-05,0.01043,2e-05,0,7e-05,0.00823,1e-05,0,3.79268,4.5654,5.18615,3.63148,0,0,0,0.000949072,0.000949072,0.00594907
4,97.4133,3.81935,4.52421,5.08838,3.60965,0.54004,0.52871,0.52981,0.00029,0.02576,6e-05,1e-05,0.00023,0.01655,2e-05,0,3.82603,4.53593,5.19049,3.59701,0,0,0,0.000997803,0.000997803,0.000997803
5,121.592,3.77963,4.52232,5.06158,3.57583,0.53496,0.52327,0.52466,0.00051,0.01503,0.0001,3e-05,0.00046,0.01042,5e-05,2e-05,3.85869,4.75643,5.26634,3.7382,0,0,0,0.000996097,0.000996097,0.000996097
6,145.753,3.77623,4.49448,4.98191,3.53963,0.53195,0.51926,0.52083,0.00032,0.02225,0.00027,4e-05,0.00019,0.01565,3e-05,1e-05,3.69844,5.3388,5.42457,3.76344,0,0,0,0.000993906,0.000993906,0.000993906
7,169.74,3.76089,4.4757,4.96806,3.51186,0.52791,0.51502,0.5168,0.00078,0.04187,0.00017,5e-05,0.37556,0.001,6e-05,1e-05,3.57718,5.08704,7.96112,3.57598,0,0,0,0.000991232,0.000991232,0.000991232
8,194.029,3.60387,4.48133,4.88997,3.43256,0.5244,0.51146,0.51334,0.37658,0.0006,0.0001,3e-05,0.37599,0.0006,7e-05,1e-05,3.58125,4.79267,7.35771,3.5603,0,0,0,0.000988079,0.000988079,0.000988079
9,217.99,3.61081,4.48882,4.808,3.38605,0.52341,0.50907,0.51113,0.00281,0.06869,0.00132,0.00016,0.00269,0.05305,0.00139,0.00038,3.5274,4.79872,5.29898,3.43181,0,0,0,0.000984449,0.000984449,0.000984449
10,242.26,3.58493,4.3536,4.80876,3.35968,0.52069,0.50612,0.50838,0.00254,0.1457,0.00163,0.00051,0.5021,0.00582,0.00132,0.00025,3.4598,4.39031,5.05012,3.34667,0,0,0,0.000980345,0.000980345,0.000980345
