epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8394,3.68962,8.58225,5.69505,4.24305,0.84829,0.85608,0.85769,7e-05,0.09475,4e-05,1e-05,0,0,0,0,3.6563,5.21797,5.95831,4.15702,0,0,0,0.00012495,0.00012495,0.00012495
2,56.5624,3.7377,6.72707,5.72038,4.21657,0.84464,0.85133,0.85462,7e-05,0.09515,5e-05,1e-05,4e-05,0.0633,2e-05,0,3.65543,5.21127,5.96119,4.15421,0,0,0,0.000255674,0.000255674,0.000255674
3,82.822,3.83608,5.98253,5.68634,4.20229,0.84013,0.84762,0.85044,8e-05,0.10016,3e-05,1e-05,9e-05,0.06931,2e-05,0,3.65391,5.191,5.94313,4.14777,0,0,0,0.000383758,0.000383758,0.000383758
4,108.871,3.69145,5.36536,5.557,4.16248,0.83111,0.84053,0.84341,0.00013,0.10278,3e-05,1e-05,0.0001,0.07072,1e-05,0,3.64909,5.09386,5.89162,4.13128,0,0,0,0.000509204,0.000509204,0.000509204
5,134.839,3.70826,4.97444,5.5035,4.12226,0.81808,0.83064,0.83349,0.00012,0.01364,1e-05,0,9e-05,0.00662,0,0,3.62701,4.71098,5.78384,4.09378,0,0,0,0.00063201,0.00063201,0.00063201
6,160.745,3.62906,4.53322,5.47613,4.05289,0.80141,0.81362,0.8156,0.00015,0.01485,3e-05,1e-05,0.00014,0.01304,0.00065,0.00026,3.55849,4.44607,5.69469,4.00551,0,0,0,0.000752178,0.000752178,0.000752178
7,187.044,3.57748,4.52571,5.33027,3.95869,0.78665,0.79677,0.7993,0.87716,0.0014,0.00015,3e-05,0.87747,0.00161,0.00016,4e-05,3.67882,4.82214,16.5634,4.01142,0,0,0,0.00078352,0.00078352,0.00078352
8,214.339,3.53611,4.40459,5.30713,3.81826,0.7705,0.78026,0.78241,0.75028,0.00321,2e-05,0,0.75038,0.00341,2e-05,0,3.50658,5.28875,16.9462,4.06684,0,0,0,0.000775273,0.000775273,0.000775273
9,240.5,3.39018,4.40081,5.16011,3.7427,0.75393,0.76507,0.76727,0.00021,0.01217,3e-05,1e-05,0.00022,0.01235,3e-05,0,3.34723,4.84696,6.63891,3.82211,0,0,0,0.000767026,0.000767026,0.000767026
10,268.325,3.27893,4.45924,4.99567,3.65035,0.7371,0.74891,0.75081,0.00017,0.01625,2e-05,0,0.00013,0.01324,2e-05,0,3.48794,6.78371,34.815,3.90998,0,0,0,0.00075878,0.00075878,0.00075878
11,294.996,3.23326,4.42732,4.93207,3.56115,0.72126,0.73371,0.73554,0.75469,0.00161,0.00019,3e-05,0.7538,0.00201,0.00019,3e-05,3.28913,4.9006,10.4163,3.65262,0,0,0,0.000750533,0.000750533,0.000750533
12,321.766,3.10829,4.4143,4.83783,3.45297,0.70412,0.71676,0.71854,0.50152,0.00381,0.0002,4e-05,0.5018,0.00201,0.00016,3e-05,3.16308,5.24718,11.2691,3.48267,0,0,0,0.000742286,0.000742286,0.000742286
13,348.444,3.10831,4.31263,4.75667,3.34873,0.68983,0.70194,0.70416,0.37633,0.00502,0.00027,5e-05,0.37659,0.00622,0.00026,5e-05,3.12236,4.48972,7.35917,3.3687,0,0,0,0.00073404,0.00073404,0.00073404
14,374.731,3.11811,4.40296,4.75576,3.29541,0.67572,0.68799,0.69076,0.87881,0.00221,0.00069,0.00011,0.50109,0.00361,0.0006,8e-05,3.04817,4.32955,5.71787,3.3237,0,0,0,0.000725793,0.000725793,0.000725793
