epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7445,3.85388,6.83844,5.21782,4.23144,0.83809,0.83675,0.85127,3e-05,0.00562,0,0,2e-05,0.00077,0,0,3.88937,5.20825,4.30768,4.1594,0,0,0,0.00012495,0.00012495,0.00012495
2,24.402,3.9722,6.09807,5.19308,4.19547,0.83208,0.83006,0.84599,0.00015,0.09957,6e-05,2e-05,0.00019,0.06431,3e-05,1e-05,3.88694,5.19412,4.28533,4.15715,0,0,0,0.000257804,0.000257804,0.000257804
3,33.0941,4.03273,5.57531,5.09967,4.17131,0.82157,0.82048,0.8374,0.00011,0.00863,1e-05,0,0.00013,0.0072,1e-05,0,3.88942,5.13584,4.23705,4.14399,0,0,0,0.000390218,0.000390218,0.000390218
4,41.6239,3.87667,4.99523,4.90357,4.14205,0.80678,0.80751,0.82636,0.00016,0.10417,3e-05,1e-05,0.00015,0.0701,5e-05,1e-05,3.89004,4.98236,4.17523,4.12049,0,0,0,0.000522192,0.000522192,0.000522192
5,50.3043,3.93767,4.65839,4.82148,4.09679,0.7927,0.79443,0.81491,0.00021,0.03003,5e-05,2e-05,0.00017,0.01344,4e-05,2e-05,3.85611,4.73351,4.05766,4.09979,0,0,0,0.000653727,0.000653727,0.000653727
6,58.9633,3.91011,4.40474,4.79757,4.04482,0.77959,0.77928,0.80099,0.0002,0.02339,0.00076,0.00018,0.00017,0.01476,0.00064,0.00015,3.84477,4.41247,4.15991,4.04767,0,0,0,0.000784821,0.000784821,0.000784821
7,67.3896,3.85739,4.46734,4.71804,4.00122,0.76613,0.76559,0.78791,9e-05,0.02545,0.00045,7e-05,8e-05,0.01143,3e-05,1e-05,3.85838,4.41351,4.26525,4.06146,0,0,0,0.000824753,0.000824753,0.000824753
8,75.8323,3.8057,4.39396,4.7555,3.90893,0.75298,0.75151,0.77395,0.00014,0.02425,0.00036,7e-05,0.00117,0.04529,0.00174,0.00034,3.8377,4.5612,4.30403,3.9707,0,0,0,0.000823379,0.000823379,0.000823379
9,84.6232,3.71909,4.36178,4.71221,3.86079,0.73832,0.7378,0.75874,8e-05,0.00923,1e-05,0,0.00013,0.01063,1e-05,0,3.71011,4.69569,4.44416,3.91796,0,0,0,0.000822004,0.000822004,0.000822004
10,93.0477,3.65563,4.43099,4.6056,3.78422,0.72523,0.72795,0.74739,0.00015,0.01565,3e-05,1e-05,0.00015,0.01585,3e-05,1e-05,3.62922,4.66055,4.25557,3.89355,0,0,0,0.00082063,0.00082063,0.00082063
11,101.378,3.65753,4.46886,4.56151,3.71926,0.71162,0.71382,0.73227,0.00029,0.03892,0.00012,3e-05,0.00024,0.02207,8e-05,3e-05,3.58631,4.39745,4.25501,3.81639,0,0,0,0.000819255,0.000819255,0.000819255
12,110.173,3.53501,4.41673,4.44914,3.62159,0.69754,0.70085,0.71862,0.00079,0.06753,0.00804,0.00236,0.00039,0.05172,0.00047,6e-05,3.51283,4.49491,4.35022,3.80625,0,0,0,0.000817881,0.000817881,0.000817881
13,118.571,3.56847,4.36656,4.44101,3.54539,0.68517,0.68973,0.70586,0.00103,0.0958,0.00114,0.00028,0.00047,0.05212,0.00055,0.00012,3.46923,4.47021,4.18986,3.66965,0,0,0,0.000816507,0.000816507,0.000816507
14,126.961,3.58427,4.46345,4.46245,3.49049,0.67303,0.67847,0.69388,0.00114,0.07576,0.00074,0.00025,0.75047,0.00722,0.00042,5e-05,3.37196,4.5067,4.07729,3.47421,0,0,0,0.000815132,0.000815132,0.000815132
15,135.284,3.4251,4.30135,4.47875,3.47193,0.66055,0.66667,0.6809,0.75167,0.00281,0.00062,9e-05,0.62588,0.01822,0.00023,4e-05,3.34396,4.33487,4.00487,3.42332,0,0,0,0.000813758,0.000813758,0.000813758
16,143.777,3.35732,4.3343,4.39887,3.43703,0.64926,0.65572,0.6688,0.76874,0.00221,0.0007,0.00018,0.75143,0.001,0.00014,2e-05,3.29473,4.4321,4.11597,3.40458,0,0,0,0.000812383,0.000812383,0.000812383
