epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3009,3.86851,6.68284,5.2812,4.213,0,0,0,8e-05,0.09495,0.00015,6e-05,0.00016,0.07048,0.00011,3e-05,3.88946,5.2046,4.31527,4.15838,0,0,0,0.00012495,0.00012495,0.00012495
2,19.5993,3.98219,6.32248,5.30029,4.18296,0,0,0,0.0001,0.09554,7e-05,3e-05,0.00017,0.07048,6e-05,2e-05,3.88921,5.18813,4.31453,4.15425,0,0,0,0.000257804,0.000257804,0.000257804
3,26.0228,4.04449,5.2764,5.23784,4.1599,0,0,0,9e-05,0.09976,3e-05,1e-05,0.00019,0.0695,2e-05,1e-05,3.889,5.12743,4.30389,4.1381,0,0,0,0.000390218,0.000390218,0.000390218
4,32.3796,3.87568,4.79313,5.10205,4.12578,0,0,0,0.00016,0.10497,3e-05,1e-05,0.00014,0.06891,2e-05,0,3.88489,4.90093,4.27858,4.10378,0,0,0,0.000522192,0.000522192,0.000522192
5,38.579,3.93506,4.53697,5.07145,4.08135,0,0,0,0.00016,0.10334,4e-05,1e-05,0.00015,0.09656,4e-05,1e-05,3.85743,4.60722,4.24829,4.07033,0,0,0,0.000653727,0.000653727,0.000653727
6,44.9216,3.93876,4.36478,5.03794,4.03169,0,0,0,0.00016,0.02453,2e-05,1e-05,0.00016,0.00458,1e-05,0,3.86199,4.50783,4.20572,4.04565,0,0,0,0.000784821,0.000784821,0.000784821
7,51.0564,3.85986,4.45174,4.95052,3.97268,0,0,0,0.00018,0.02121,5e-05,1e-05,0.00016,0.01419,2e-05,0,3.85871,4.4439,4.15562,4.00142,0,0,0,0.000824753,0.000824753,0.000824753
8,57.2465,3.87669,4.405,4.94791,3.88709,0,0,0,0.0002,0.0222,5e-05,1e-05,0.0001,0.00841,2e-05,0,3.88989,4.44109,4.13607,3.97258,0,0,0,0.000823379,0.000823379,0.000823379
9,63.5604,3.79829,4.3862,4.86126,3.83842,0,0,0,0.00017,0.02488,5e-05,1e-05,0.00012,0.01541,3e-05,1e-05,3.82297,4.43275,4.14854,3.86679,0,0,0,0.000822004,0.000822004,0.000822004
10,69.8423,3.80583,4.44115,4.80526,3.77895,0,0,0,0.00022,0.02286,0.00012,3e-05,0.00019,0.01343,5e-05,1e-05,3.74109,4.38703,4.19479,3.93092,0,0,0,0.00082063,0.00082063,0.00082063
11,76.2009,3.80251,4.48783,4.7385,3.7237,0,0,0,0.00027,0.0603,0.0011,0.00043,0.00021,0.04269,0.0001,3e-05,3.71285,4.39047,4.10642,3.79094,0,0,0,0.000819255,0.000819255,0.000819255
12,82.4574,3.68835,4.43506,4.65209,3.64787,0,0,0,0.00031,0.10537,0.00017,4e-05,0.00027,0.07271,7e-05,1e-05,3.6661,4.47009,4.1354,3.86613,0,0,0,0.000817881,0.000817881,0.000817881
13,88.8413,3.81094,4.4109,4.68504,3.62273,0,0,0,0.00062,0.10438,0.00055,0.00018,0.00031,0.04688,6e-05,1e-05,3.64059,4.39841,4.07851,3.69233,0,0,0,0.000816507,0.000816507,0.000816507
14,95.089,3.79251,4.46457,4.70176,3.55337,0,0,0,0.00159,0.09536,0.00068,0.00015,0.00071,0.11101,0.00103,0.00012,3.58531,4.32258,3.98661,3.52535,0,0,0,0.000815132,0.000815132,0.000815132
15,101.284,3.60439,4.30811,4.66779,3.53105,0,0,0,0.00173,0.10117,0.00038,0.0001,0.00051,0.11,0.00043,9e-05,3.47305,4.34055,3.93357,3.47944,0,0,0,0.000813758,0.000813758,0.000813758
16,107.589,3.52145,4.34763,4.56406,3.49073,0,0,0,0.00082,0.07073,0.00029,7e-05,0.00048,0.08297,0.00049,0.0001,3.44532,4.29398,3.90334,3.42127,0,0,0,0.000812383,0.000812383,0.000812383
17,113.809,3.51615,4.29565,4.47802,3.42186,0,0,0,0.00099,0.06571,0.00028,7e-05,0.00071,0.0232,0.00016,4e-05,3.36363,4.32082,3.96826,3.41986,0,0,0,0.000811009,0.000811009,0.000811009
18,120.004,3.40875,4.33173,4.49546,3.38938,0,0,0,0.87827,0.0006,0.00015,4e-05,0.87827,0.0006,0.00014,3e-05,3.37468,4.31789,4.01343,3.37242,0,0,0,0.000809634,0.000809634,0.000809634
19,126.07,3.37144,4.41981,4.57763,3.34826,0,0,0,0.75265,0.0008,0.0009,0.00019,0.7652,0.0006,0.00079,0.00012,3.34837,4.30074,3.99478,3.28617,0,0,0,0.00080826,0.00080826,0.00080826
20,132.296,3.28948,4.3369,4.57586,3.38375,0,0,0,0.63432,0.0006,0.00082,0.00019,0.6378,0.0006,0.00073,0.00016,3.36342,4.31001,3.85344,3.26461,0,0,0,0.000806885,0.000806885,0.000806885
21,138.457,3.40181,4.30805,4.52367,3.35324,0,0,0,0.64403,0.0006,0.00142,0.00046,0.64449,0.0006,0.00116,0.00024,3.28638,4.29927,3.88225,3.26345,0,0,0,0.000805511,0.000805511,0.000805511
22,144.604,3.27649,4.27731,4.49953,3.28501,0,0,0,0.00041,0.03672,0.00097,0.00019,0.50086,0.01184,0.00024,5e-05,3.28747,4.28517,3.93368,3.27566,0,0,0,0.000804137,0.000804137,0.000804137
23,150.753,3.27608,4.3105,4.50867,3.28324,0,0,0,0.00065,0.0383,0.00126,0.00042,0.00053,0.02767,0.00059,0.00012,3.28515,4.29009,3.93228,3.25395,0,0,0,0.000802762,0.000802762,0.000802762
24,156.997,3.26231,4.30059,4.42228,3.27188,0,0,0,0.12557,0.02669,0.00086,0.00015,0.00074,0.03307,0.00021,4e-05,3.24878,4.26664,3.8779,3.19453,0,0,0,0.000801388,0.000801388,0.000801388
25,163.266,3.294,4.31608,4.43568,3.29435,0,0,0,0.00071,0.05195,0.00031,7e-05,0.00056,0.03168,0.00021,4e-05,3.22809,4.27274,3.96587,3.16855,0,0,0,0.000800013,0.000800013,0.000800013
26,169.436,3.27797,4.34365,4.43267,3.2234,0,0,0,0.00105,0.04958,0.00106,0.00017,0.00079,0.03336,0.00029,6e-05,3.25825,4.26803,3.83457,3.17476,0,0,0,0.000798639,0.000798639,0.000798639
27,175.866,3.26897,4.39265,4.3276,3.1542,0,0,0,0.00102,0.0437,0.00194,0.00043,0.00084,0.03247,0.00072,0.0001,3.33685,4.23553,3.82858,3.18134,0,0,0,0.000797264,0.000797264,0.000797264
28,182.018,3.23418,4.40449,4.30753,3.17092,0,0,0,0.00088,0.04916,0.00043,9e-05,0.12582,0.01364,0.00035,6e-05,3.21234,4.23413,3.80997,3.14289,0,0,0,0.00079589,0.00079589,0.00079589
29,188.224,3.27903,4.27335,4.33138,3.1321,0,0,0,0.25175,0.01445,0.00226,0.00047,0.376,0.00562,0.00024,5e-05,3.25481,4.22591,3.92318,3.09249,0,0,0,0.000794515,0.000794515,0.000794515
30,194.381,3.1828,4.25117,4.28485,3.08056,0,0,0,0.00099,0.0616,0.00104,0.00024,0.37745,0.00401,0.00078,0.00016,3.2009,4.22266,3.8083,3.08133,0,0,0,0.000793141,0.000793141,0.000793141
31,200.506,3.23512,4.23099,4.35573,3.08719,0,0,0,0.37822,0.00461,0.00066,0.00014,0.37651,0.00602,0.00067,0.0001,3.20953,4.25592,3.9144,3.09465,0,0,0,0.000791767,0.000791767,0.000791767
32,206.742,3.24046,4.25481,4.36688,3.10957,0,0,0,0.37859,0.00401,0.00056,0.00012,0.37802,0.00201,0.00034,5e-05,3.22412,4.24651,3.94273,3.11127,0,0,0,0.000790392,0.000790392,0.000790392
33,212.996,3.17588,4.27867,4.3113,3.1288,0,0,0,0.0011,0.06142,0.00088,0.00022,0.50341,0.0014,0.00069,0.00016,3.10651,4.23564,3.79308,3.04012,0,0,0,0.000789018,0.000789018,0.000789018
34,219.343,3.23721,4.2015,4.22469,3.04852,0,0,0,0.12661,0.05361,0.00128,0.00023,0.38033,0.00161,0.00055,0.00011,3.10782,4.22844,3.82099,3.03049,0,0,0,0.000787643,0.000787643,0.000787643
