epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7346,3.84647,8.27345,5.24937,4.21997,0,0,0,5e-05,0.0006,0,0,0,0,0,0,3.88981,5.22258,4.31122,4.15766,0,0,0,0.00012495,0.00012495,0.00012495
2,20.3544,3.97337,6.86681,5.26674,4.18705,0,0,0,4e-05,0.0008,0,0,0,0,0,0,3.89001,5.2217,4.30984,4.15225,0,0,0,0.000257804,0.000257804,0.000257804
3,27.0126,4.0258,5.98259,5.22364,4.17456,0,0,0,6e-05,0.0012,0,0,0,0,0,0,3.89149,5.19757,4.30131,4.14042,0,0,0,0.000390218,0.000390218,0.000390218
4,33.7773,3.86889,5.32535,5.09509,4.14499,0,0,0,5e-05,0.09932,6e-05,2e-05,4e-05,0.06807,5e-05,2e-05,3.8883,5.09631,4.28251,4.11815,0,0,0,0.000522192,0.000522192,0.000522192
5,40.5335,3.92087,4.73264,5.07372,4.11344,0,0,0,0.00018,0.11292,3e-05,1e-05,0.00019,0.0719,6e-05,1e-05,3.86161,4.58487,4.24957,4.0791,0,0,0,0.000653727,0.000653727,0.000653727
6,47.129,3.88926,4.43564,5.05038,4.06117,0,0,0,0.00024,0.10955,6e-05,2e-05,0.0002,0.10775,5e-05,1e-05,3.84766,4.56402,4.20611,4.07015,0,0,0,0.000784821,0.000784821,0.000784821
7,53.7917,3.90133,4.55104,4.98352,4.04827,0,0,0,0.00023,0.12043,0.00017,3e-05,0.00021,0.10976,4e-05,1e-05,3.84243,4.41253,4.16446,4.10172,0,0,0,0.000824753,0.000824753,0.000824753
8,60.3599,3.8895,4.42693,4.99991,3.96855,0,0,0,0.00026,0.13044,0.00013,3e-05,0.00024,0.10837,5e-05,1e-05,3.86525,4.45955,4.16314,3.92971,0,0,0,0.000823379,0.000823379,0.000823379
9,66.9991,3.87841,4.41873,4.90379,3.93956,0,0,0,0.00014,0.02247,0.00063,0.0003,0.00012,0.04269,0.00011,9e-05,3.80352,4.44836,4.23258,3.92031,0,0,0,0.000822004,0.000822004,0.000822004
10,73.7853,3.81307,4.51169,4.84087,3.83838,0,0,0,0.0003,0.06589,0.00031,9e-05,0.00021,0.04808,0.0001,2e-05,3.80447,4.53385,4.33834,4.08968,0,0,0,0.00082063,0.00082063,0.00082063
11,80.2722,3.86792,4.47929,4.76644,3.81346,0,0,0,0.0004,0.0593,0.00012,2e-05,0.00023,0.02002,6e-05,1e-05,3.79418,4.53851,4.16572,3.78932,0,0,0,0.000819255,0.000819255,0.000819255
12,86.6997,3.84778,4.47457,4.66624,3.70012,0,0,0,0.00099,0.07071,0.00018,6e-05,0.00038,0.05087,0.0001,2e-05,3.83137,4.72966,4.03975,3.62335,0,0,0,0.000817881,0.000817881,0.000817881
13,93.2569,3.90925,4.43039,4.67748,3.68045,0,0,0,0.00057,0.07255,0.00017,3e-05,0.00027,0.02206,3e-05,1e-05,3.71592,4.71111,4.12517,3.66288,0,0,0,0.000816507,0.000816507,0.000816507
14,99.6931,3.95398,4.49922,4.6474,3.6333,0,0,0,0.00045,0.02985,6e-05,1e-05,0.00013,0.01204,2e-05,0,3.68706,4.70257,4.21344,3.65319,0,0,0,0.000815132,0.000815132,0.000815132
15,106.155,3.87452,4.38712,4.65096,3.58351,0,0,0,0.00029,0.0311,0.00013,3e-05,0.00018,0.01886,3e-05,1e-05,3.6641,4.60916,4.21771,3.62591,0,0,0,0.000813758,0.000813758,0.000813758
16,112.791,3.73459,4.3873,4.56176,3.55971,0,0,0,0.00051,0.12264,0.00025,6e-05,0.00035,0.08236,0.00011,2e-05,3.57398,4.48111,4.11315,3.60976,0,0,0,0.000812383,0.000812383,0.000812383
17,119.181,3.69902,4.37508,4.47489,3.52251,0,0,0,0.87526,0.0012,9e-05,2e-05,0.00019,0.01565,5e-05,1e-05,3.57616,4.48961,4.14335,3.6472,0,0,0,0.000811009,0.000811009,0.000811009
18,125.788,3.58256,4.36703,4.47252,3.4849,0,0,0,0.00043,0.03391,0.00057,0.0003,0.87553,0.00201,0.00052,0.0002,3.48869,4.39437,4.03979,3.46377,0,0,0,0.000809634,0.000809634,0.000809634
19,132.237,3.62412,4.42373,4.53245,3.44251,0,0,0,0.62546,0.01284,0.001,0.00019,0.00106,0.08335,0.00113,0.00022,3.5078,4.34659,3.93873,3.44894,0,0,0,0.00080826,0.00080826,0.00080826
20,138.618,3.43149,4.36981,4.55956,3.45393,0,0,0,0.00167,0.07315,0.00115,0.00022,0.00287,0.0839,0.00231,0.00046,3.45469,4.32812,3.97117,3.43472,0,0,0,0.000806885,0.000806885,0.000806885
21,145.085,3.57528,4.32604,4.48018,3.40049,0,0,0,0.00176,0.07696,0.00155,0.00041,0.00162,0.0565,0.00118,0.0002,3.41722,4.31929,3.9231,3.37078,0,0,0,0.000805511,0.000805511,0.000805511
22,151.662,3.47661,4.30051,4.47542,3.40259,0,0,0,0.00067,0.03761,0.00089,0.00013,0.00057,0.02136,0.00022,3e-05,3.39534,4.31629,3.90053,3.3183,0,0,0,0.000804137,0.000804137,0.000804137
23,158.135,3.37123,4.34139,4.49842,3.31108,0,0,0,0.00095,0.07227,0.00067,0.00013,0.00081,0.05524,0.00053,0.0001,3.38746,4.32131,3.85907,3.29999,0,0,0,0.000802762,0.000802762,0.000802762
24,164.679,3.40006,4.32895,4.45107,3.31205,0,0,0,0.00124,0.07308,0.00182,0.00031,0.00115,0.06184,0.00142,0.00026,3.34873,4.28733,3.87741,3.30161,0,0,0,0.000801388,0.000801388,0.000801388
25,171.117,3.37921,4.36113,4.43674,3.31608,0,0,0,0.0012,0.05343,0.0011,0.00019,0.00092,0.03298,0.00027,5e-05,3.32275,4.30129,3.93148,3.26542,0,0,0,0.000800013,0.000800013,0.000800013
26,177.657,3.37483,4.36878,4.39742,3.27291,0,0,0,0.37599,0.00301,0.00116,0.00026,0.37593,0.00281,0.00086,0.00017,3.35985,4.32685,3.82911,3.22018,0,0,0,0.000798639,0.000798639,0.000798639
27,184.203,3.32232,4.42786,4.31158,3.17012,0,0,0,0.00119,0.0529,0.00151,0.00032,0.25179,0.00963,0.00092,0.00013,3.33232,4.3298,3.83099,3.18267,0,0,0,0.000797264,0.000797264,0.000797264
28,190.849,3.28153,4.39992,4.33704,3.1802,0,0,0,0.00149,0.04983,0.00139,0.0002,0.00155,0.03698,0.00114,0.00014,3.33767,4.30248,3.99147,3.1146,0,0,0,0.00079589,0.00079589,0.00079589
