epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7742,3.66165,9.46836,5.79251,4.22138,0.41542,0.85531,0.86706,5e-05,0.0014,0,0,3e-05,0.0008,0,0,3.65476,5.22372,5.02319,4.15658,nan,0,0,0.00025823,0.00025823,0.00025823
2,121.366,3.70664,6.31098,5.80868,4.19679,0.41025,0.84831,0.86011,0.0001,0.09612,3e-05,1e-05,0.00013,0.07225,2e-05,0,3.65412,5.10804,4.91902,4.14666,nan,0,0,0.000523924,0.000523924,0.000523924
3,178.376,3.78932,5.06681,5.68784,4.1615,0.40076,0.83704,0.84865,7e-05,0.09536,3e-05,2e-05,9e-05,0.06551,2e-05,1e-05,3.63743,4.62175,4.83935,4.12415,nan,0,0,0.000788739,0.000788739,0.000788739
4,235.318,3.73235,4.36515,5.71767,4.11399,0.38866,0.82185,0.83498,1e-05,0.01974,0,0,6e-05,0.00738,0,0,3.65854,4.17826,4.99609,4.11338,nan,0,0,0.000828877,0.000828877,0.000828877
5,291.966,3.65391,4.1365,5.41981,4.07099,0.37676,0.80582,0.81882,0.0001,0.00702,1e-05,0,0.0001,0.00742,1e-05,0,3.65132,4.48011,5.18954,4.09002,nan,0,0,0.000827502,0.000827502,0.000827502
6,349.184,3.76208,4.10476,5.54119,3.99452,0.36417,0.79313,0.80616,0.00012,0.06691,6e-05,2e-05,0.00012,0.06732,6e-05,1e-05,3.62805,4.36182,5.07069,3.9575,nan,0,0,0.000826128,0.000826128,0.000826128
7,406.069,3.67333,4.14763,5.35783,3.93305,0.34955,0.78054,0.79332,0.00018,0.04086,2e-05,0,0.00021,0.10276,8e-05,1e-05,3.61625,4.4457,4.69288,3.96629,nan,0,0,0.000824753,0.000824753,0.000824753
8,463.177,3.6031,4.11299,5.34221,3.85797,0.3334,0.76654,0.77982,0.00017,0.01721,3e-05,0,0.00022,0.05384,4e-05,1e-05,3.53905,4.32743,4.59499,3.88918,nan,0,0,0.000823379,0.000823379,0.000823379
9,520.009,3.52484,4.14988,5.12558,3.81083,0.31762,0.75386,0.76726,0.00019,0.04046,2e-05,0,0.00015,0.00761,2e-05,0,3.49924,4.52223,4.56744,3.80486,nan,0,0,0.000822004,0.000822004,0.000822004
10,576.707,3.39713,4.08541,5.24011,3.7433,0.29591,0.74164,0.75568,0.00023,0.07694,5e-05,1e-05,0.00016,0.01344,1e-05,0,3.43312,4.30421,4.58736,3.80197,nan,0,0,0.00082063,0.00082063,0.00082063
