epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6955,3.66819,8.77273,5.89283,4.22214,0.84276,0.84925,0.86423,8e-05,0.00721,0,0,8e-05,0.00277,0,0,3.65549,5.21926,5.02715,4.15668,0,0,0,0.00025823,0.00025823,0.00025823
2,111.59,3.71837,6.51328,5.82207,4.20385,0.83299,0.8403,0.85508,8e-05,0.09534,3e-05,1e-05,9e-05,0.06487,1e-05,0,3.65703,5.16485,4.96544,4.14609,0,0,0,0.000523924,0.000523924,0.000523924
3,164.625,3.7825,5.35966,5.68375,4.14763,0.81728,0.82817,0.84305,2e-05,0.09375,3e-05,1e-05,8e-05,0.06809,2e-05,1e-05,3.6437,4.94648,4.88413,4.12502,0,0,0,0.000788739,0.000788739,0.000788739
4,217.648,3.72958,4.73712,5.7099,4.10348,0.80249,0.81412,0.83077,4e-05,0.02796,1e-05,0,1e-05,0.00481,0,0,3.6241,5.3122,4.90289,4.09308,0,0,0,0.000828877,0.000828877,0.000828877
5,270.605,3.66376,4.52187,5.44398,4.05115,0.78763,0.79993,0.81638,0.00018,0.02117,1e-05,0,0.00013,0.03667,4e-05,0,3.63962,4.60283,4.83691,4.0211,0,0,0,0.000827502,0.000827502,0.000827502
6,323.428,3.77807,4.40718,5.61269,3.99179,0.77775,0.78885,0.80515,0.00024,0.10619,6e-05,1e-05,0.0002,0.10276,0.00032,4e-05,3.62247,6.2416,4.68951,3.95334,0,0,0,0.000826128,0.000826128,0.000826128
7,376.512,3.68533,4.47897,5.38347,3.92133,0.76504,0.7768,0.7918,0.8769,0.0002,5e-05,1e-05,0.87574,0.0002,0.00024,5e-05,3.55443,6.42682,5.15619,3.94572,0,0,0,0.000824753,0.000824753,0.000824753
8,429.529,3.61055,4.4726,5.32874,3.85281,0.7524,0.76469,0.7801,0.00019,0.01565,6e-05,1e-05,8e-05,0.03627,9e-05,1e-05,3.48934,5.84367,4.61363,3.8568,0,0,0,0.000823379,0.000823379,0.000823379
9,482.325,3.5378,4.43841,5.14383,3.79044,0.73902,0.75202,0.76774,0.00019,0.01604,2e-05,1e-05,0.0002,0.04823,0.00012,2e-05,3.46659,5.01111,4.57597,3.79566,0,0,0,0.000822004,0.000822004,0.000822004
10,535.316,3.41126,4.41639,5.22769,3.71272,0.72636,0.73955,0.75549,0.00024,0.02227,0.0001,1e-05,0.00018,0.01384,0.00013,2e-05,3.35737,4.4711,4.48722,3.64165,0,0,0,0.00082063,0.00082063,0.00082063
11,588.189,3.36819,4.42698,5.25666,3.67813,0.71467,0.72832,0.74452,0.00036,0.06492,0.00012,3e-05,0.00032,0.11799,0.00014,4e-05,3.35756,4.45066,4.40458,3.64583,0,0,0,0.000819255,0.000819255,0.000819255
12,641.31,3.28192,4.33121,5.12684,3.60133,0.70282,0.71669,0.73292,0.00039,0.07032,9e-05,2e-05,0.0003,0.11721,0.00013,3e-05,3.28914,4.39358,4.3352,3.56387,0,0,0,0.000817881,0.000817881,0.000817881
13,694.366,3.24006,4.45085,5.06215,3.52849,0.6911,0.70496,0.7207,0.00035,0.09038,9e-05,2e-05,0.00023,0.10699,0.00018,3e-05,3.20605,4.42331,4.35434,3.4865,0,0,0,0.000816507,0.000816507,0.000816507
14,747.225,3.25653,4.3612,5.02792,3.43937,0.67911,0.69198,0.70769,0.00019,0.01445,4e-05,1e-05,0.6254,0.00221,4e-05,1e-05,3.17107,4.43412,4.42578,3.46797,0,0,0,0.000815132,0.000815132,0.000815132
15,800.133,3.03616,4.34315,5.06256,3.4085,0.66825,0.68099,0.6956,0.00025,0.01886,5e-05,1e-05,0.00016,0.01384,4e-05,1e-05,3.14033,4.39043,4.43941,3.43331,0,0,0,0.000813758,0.000813758,0.000813758
16,853.201,3.16862,4.30906,4.99645,3.35926,0.65724,0.66876,0.68305,0.00023,0.02348,8e-05,2e-05,0.00025,0.04349,0.00061,8e-05,3.23102,4.45891,4.69568,3.50133,0,0,0,0.000812383,0.000812383,0.000812383
17,906.313,3.06239,4.27148,4.93793,3.35073,0.64655,0.65688,0.67086,0.00036,0.03291,0.00016,3e-05,0.00025,0.01846,0.00011,2e-05,3.13037,4.31477,4.40733,3.38684,0,0,0,0.000811009,0.000811009,0.000811009
18,959.166,3.01817,4.29278,4.91382,3.30867,0.63679,0.64653,0.65994,0.00046,0.04193,0.00079,0.00013,0.7766,0.0004,0.00076,0.0001,3.09827,4.33016,4.31026,3.29769,0,0,0,0.000809634,0.000809634,0.000809634
19,1012.35,3.09279,4.35813,4.89658,3.2835,0.6273,0.63579,0.64862,0.00062,0.06992,0.00091,0.00018,0.87819,0.00161,0.00096,0.00011,3.03475,4.28865,4.16662,3.20934,0,0,0,0.00080826,0.00080826,0.00080826
20,1065.57,3.04695,4.35539,4.87553,3.22428,0.61841,0.62561,0.63759,0.00069,0.07593,0.00089,0.00015,0.00058,0.06831,0.00079,0.00014,2.9937,4.29078,4.12865,3.1917,0,0,0,0.000806885,0.000806885,0.000806885
21,1118.77,3.04382,4.27943,4.83963,3.22475,0.60958,0.61635,0.62769,0.00066,0.05128,0.00107,0.00022,0.00052,0.03482,0.00061,0.00013,3.01796,4.24618,4.09767,3.18114,0,0,0,0.000805511,0.000805511,0.000805511
22,1171.88,3.01199,4.33468,4.82682,3.24011,0.60244,0.60709,0.618,0.7545,0.0014,0.00264,0.00038,0.00054,0.03663,0.00054,0.00011,2.99985,4.25171,4.03585,3.14595,0,0,0,0.000804137,0.000804137,0.000804137
23,1225.16,2.95425,4.24987,4.79587,3.17468,0.59546,0.59973,0.60992,0.76562,0.00281,0.0033,0.00048,0.76072,0.0012,0.00129,0.00034,2.95886,4.24359,4.0452,3.11809,0,0,0,0.000802762,0.000802762,0.000802762
24,1278.31,2.99688,4.34735,4.84988,3.14414,0.59014,0.59291,0.60261,0.76615,0.00221,0.00161,0.00036,0.00098,0.14246,0.00167,0.00037,2.92817,4.26673,4.10756,3.13047,0,0,0,0.000801388,0.000801388,0.000801388
25,1331.2,3.0029,4.35068,4.75234,3.11638,0.58454,0.58668,0.59575,0.77671,0.00181,0.00127,0.00025,0.00078,0.07245,0.00108,0.00018,2.91648,4.26606,4.17007,3.14506,0,0,0,0.000800013,0.000800013,0.000800013
