epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3079,3.7311,8.06254,5.75513,4.21291,0.848,0.8499,0.84887,2e-05,0.09375,2e-05,1e-05,4e-05,0.0627,1e-05,0,3.65522,5.22671,5.02863,4.1584,0,0,0,0.00012495,0.00012495,0.00012495
2,40.7873,3.7474,6.67569,5.72937,4.19732,0.84419,0.84491,0.84387,6e-05,0.09475,2e-05,1e-05,7e-05,0.0639,1e-05,0,3.65711,5.2304,5.0188,4.15589,0,0,0,0.000257804,0.000257804,0.000257804
3,58.7448,3.86936,5.51342,5.66399,4.17717,0.83522,0.8383,0.83676,8e-05,0.09536,2e-05,1e-05,8e-05,0.06451,1e-05,0,3.65975,5.19784,4.97783,4.14744,0,0,0,0.000390218,0.000390218,0.000390218
4,76.6358,3.7125,5.068,5.56495,4.14577,0.82305,0.8299,0.82811,9e-05,0.00863,0,0,8e-05,0.00361,0,0,3.65863,5.02255,4.84432,4.12821,0,0,0,0.000522192,0.000522192,0.000522192
5,94.1323,3.75664,4.66103,5.51025,4.11315,0.8087,0.81869,0.81522,7e-05,0.00221,0,0,9e-05,0.00259,0,0,3.64744,4.47886,4.76722,4.08384,0,0,0,0.000653727,0.000653727,0.000653727
6,111.484,3.72439,4.39091,5.49836,4.06072,0.79382,0.80367,0.7981,8e-05,0.00522,1e-05,0,2e-05,0.0014,0,0,3.6315,4.69846,4.73951,4.0631,0,0,0,0.000784821,0.000784821,0.000784821
7,128.915,3.71791,4.4811,5.41438,4.0278,0.77997,0.79084,0.78438,7e-05,0.00783,2e-05,0,5e-05,0.00562,0,0,3.63533,4.49108,4.89453,4.12536,0,0,0,0.000824753,0.000824753,0.000824753
8,146.643,3.75591,4.42048,5.44355,3.95422,0.76668,0.77788,0.77116,6e-05,0.00762,2e-05,0,6e-05,0.00702,1e-05,0,3.68487,4.4451,5.61805,4.13895,0,0,0,0.000823379,0.000823379,0.000823379
9,164.216,3.62208,4.38682,5.33614,3.88248,0.75166,0.76097,0.75412,0.0001,0.0122,4e-05,1e-05,8e-05,0.00502,3e-05,1e-05,3.65533,4.46817,4.75252,3.84548,0,0,0,0.000822004,0.000822004,0.000822004
10,182.823,3.60794,4.44432,5.14581,3.8067,0.73735,0.74539,0.73907,0.00014,0.0132,1e-05,0,0.7501,0.0002,1e-05,0,3.65546,41.2644,inf,5.82298,0,0,0,0.00082063,0.00082063,0.00082063
