epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8609,3.8564,7.79202,5.26778,4.21054,0,0,0,0.00011,0.09997,4e-05,1e-05,0,0,0,0,3.89158,5.2353,4.31368,4.1577,0,0,0,0.00012495,0.00012495,0.00012495
2,20.5964,3.99285,6.35088,5.29907,4.17884,0,0,0,5e-05,0.09937,2e-05,1e-05,0,0,0,0,3.89496,5.24279,4.31213,4.15224,0,0,0,0.000257804,0.000257804,0.000257804
3,27.5542,4.05006,5.53685,5.21875,4.1548,0,0,0,9e-05,0.09976,3e-05,1e-05,0,0,0,0,3.89704,5.1891,4.30434,4.1385,0,0,0,0.000390218,0.000390218,0.000390218
4,34.6638,3.88449,5.21082,5.08833,4.11921,0,0,0,0.00012,0.10517,3e-05,1e-05,0.00011,0.06931,2e-05,1e-05,3.88972,5.00818,4.28625,4.11534,0,0,0,0.000522192,0.000522192,0.000522192
5,41.3357,3.93372,4.79131,5.05844,4.08944,0,0,0,0.00015,0.11716,3e-05,1e-05,0.00021,0.07152,2e-05,0,3.8702,4.47951,4.25499,4.08167,0,0,0,0.000653727,0.000653727,0.000653727
6,48.2565,3.92556,4.45112,5.03628,4.0477,0,0,0,0.00011,0.02515,1e-05,0,0.00013,0.02298,1e-05,0,3.89487,4.47886,4.16872,3.97018,0,0,0,0.000784821,0.000784821,0.000784821
7,54.9204,3.88902,4.49526,4.94052,4.00641,0,0,0,0.00012,0.02535,1e-05,0,0.00011,0.01878,1e-05,0,3.92128,4.47737,4.09414,3.92709,0,0,0,0.000824753,0.000824753,0.000824753
8,61.6835,3.8683,4.43599,4.97569,3.94089,0,0,0,0.00021,0.04201,3e-05,1e-05,0.00017,0.02223,2e-05,0,3.88105,4.62852,4.10969,4.16186,0,0,0,0.000823379,0.000823379,0.000823379
9,68.6453,3.83003,4.45563,4.84777,3.88181,0,0,0,0.0001,0.0118,1e-05,0,4e-05,0.00241,0,0,3.94177,4.79296,4.18745,3.9776,0,0,0,0.000822004,0.000822004,0.000822004
10,75.3868,3.86619,4.49368,4.77263,3.81699,0,0,0,0.00018,0.04201,4e-05,1e-05,5e-05,0.00702,0,0,3.85989,5.99277,4.35635,3.97421,0,0,0,0.00082063,0.00082063,0.00082063
11,82.2698,3.88622,4.51367,4.72031,3.76421,0,0,0,0.00016,0.03926,2e-05,1e-05,9e-05,0.00702,1e-05,0,3.9473,5.45103,4.12039,3.87147,0,0,0,0.000819255,0.000819255,0.000819255
12,89.0559,3.77486,4.48367,4.63934,3.68845,0,0,0,0.00036,0.0258,0.00012,2e-05,0.0003,0.01323,8e-05,1e-05,3.78441,4.71631,4.04602,3.72154,0,0,0,0.000817881,0.000817881,0.000817881
13,95.8358,3.93526,4.474,4.61431,3.65788,0,0,0,0.00137,0.03582,0.00093,0.0002,0.0004,0.01504,4e-05,1e-05,3.84261,4.6358,3.96068,3.64917,0,0,0,0.000816507,0.000816507,0.000816507
14,102.644,3.95941,4.50935,4.62771,3.60746,0,0,0,0.00036,0.01726,4e-05,1e-05,0.00025,0.01445,3e-05,1e-05,3.79014,4.46696,3.96457,3.59152,0,0,0,0.000815132,0.000815132,0.000815132
15,109.335,3.83756,4.39249,4.67865,3.57604,0,0,0,0.00052,0.0347,8e-05,2e-05,0.00019,0.01926,3e-05,0,3.71526,4.49684,3.99108,3.56349,0,0,0,0.000813758,0.000813758,0.000813758
16,115.926,3.70614,4.42393,4.55425,3.54755,0,0,0,0.00084,0.06295,0.00025,3e-05,0.00017,0.01525,3e-05,0,3.632,4.43341,4.01647,3.52554,0,0,0,0.000812383,0.000812383,0.000812383
17,122.599,3.71753,4.35533,4.45281,3.47853,0,0,0,0.00221,0.06333,0.00114,0.00012,0.0021,0.04789,0.00108,0.00022,3.56958,4.40139,4.05055,3.49012,0,0,0,0.000811009,0.000811009,0.000811009
18,129.421,3.52905,4.3774,4.45152,3.42506,0,0,0,0.01418,0.04153,0.00157,0.00075,0.0002,0.02267,3e-05,1e-05,3.52733,4.35843,4.0249,3.44707,0,0,0,0.000809634,0.000809634,0.000809634
19,136.186,3.59189,4.47572,4.48776,3.3621,0,0,0,0.00033,0.03792,0.00023,6e-05,0.00018,0.01966,9e-05,1e-05,3.49183,4.34787,3.99895,3.35631,0,0,0,0.00080826,0.00080826,0.00080826
20,142.746,3.39419,4.39964,4.49863,3.3421,0,0,0,0.00034,0.04113,0.00027,7e-05,0.00019,0.02047,8e-05,2e-05,3.42654,4.3334,3.98545,3.3825,0,0,0,0.000806885,0.000806885,0.000806885
21,149.419,3.51075,4.34942,4.46113,3.31019,0,0,0,0.00054,0.05173,0.00048,0.00016,0.00038,0.02725,0.00028,6e-05,3.37377,4.35956,3.99967,3.38302,0,0,0,0.000805511,0.000805511,0.000805511
22,155.975,3.37677,4.3281,4.41942,3.29564,0,0,0,0.00043,0.05476,0.00077,0.00029,0.00028,0.02767,0.00041,0.00017,3.3815,4.34223,3.91271,3.31713,0,0,0,0.000804137,0.000804137,0.000804137
23,162.577,3.41322,4.3734,4.43159,3.29022,0,0,0,0.00038,0.05297,0.00084,0.00042,0.00021,0.02428,0.00068,0.00032,3.37336,4.33428,3.8887,3.27389,0,0,0,0.000802762,0.000802762,0.000802762
24,169.323,3.37834,4.34108,4.41291,3.27248,0,0,0,0.00072,0.05835,0.00047,0.00012,0.00044,0.03489,0.00023,5e-05,3.3519,4.32735,3.85698,3.1877,0,0,0,0.000801388,0.000801388,0.000801388
25,176.029,3.31017,4.34976,4.38704,3.23511,0,0,0,0.0006,0.06399,0.00042,8e-05,0.00042,0.03469,0.00022,3e-05,3.28965,4.3006,3.84296,3.13788,0,0,0,0.000800013,0.000800013,0.000800013
26,182.917,3.29115,4.3826,4.38459,3.18452,0,0,0,0.00046,0.0626,0.00076,0.00013,0.00032,0.03993,0.00022,4e-05,3.28675,4.30129,3.8212,3.1388,0,0,0,0.000798639,0.000798639,0.000798639
27,189.701,3.2564,4.39647,4.2941,3.09941,0,0,0,0.25714,0.00181,0.00116,0.00016,0.25774,0.0012,0.00082,0.0001,3.31091,4.29571,3.87523,3.18217,0,0,0,0.000797264,0.000797264,0.000797264
28,196.404,3.3067,4.43998,4.31358,3.15649,0,0,0,0.2555,0.00181,0.00122,0.00018,0.26269,0.0014,0.00102,0.00013,3.3992,4.31647,3.90907,3.16349,0,0,0,0.00079589,0.00079589,0.00079589
29,203.01,3.25427,4.28891,4.30822,3.07789,0,0,0,0.00043,0.05297,0.00064,0.00016,0.0003,0.03591,0.00032,7e-05,3.28738,4.31999,3.90909,3.13906,0,0,0,0.000794515,0.000794515,0.000794515
30,209.669,3.21276,4.3042,4.26977,3.07601,0,0,0,0.0005,0.06039,0.00067,0.00016,0.00034,0.03913,0.00032,8e-05,3.23676,4.29661,3.81646,3.07013,0,0,0,0.000793141,0.000793141,0.000793141
31,216.294,3.18327,4.26678,4.275,3.02525,0,0,0,0.00054,0.05839,0.00097,0.00018,0.00028,0.02929,0.00039,7e-05,3.23242,4.29506,3.79148,3.04698,0,0,0,0.000791767,0.000791767,0.000791767
32,222.991,3.25577,4.29888,4.27906,3.07848,0,0,0,0.00101,0.05354,0.00061,0.00017,0.00076,0.02846,0.00034,0.00013,3.23156,4.26563,3.80569,3.06961,0,0,0,0.000790392,0.000790392,0.000790392
33,229.656,3.09508,4.32432,4.25815,3.05317,0,0,0,0.00117,0.03491,0.00154,0.00026,0.00057,0.04349,0.00066,9e-05,3.15052,4.27268,3.7997,3.04152,0,0,0,0.000789018,0.000789018,0.000789018
34,236.334,3.21178,4.23403,4.17318,3.02301,0,0,0,0.25649,0.00261,0.00123,0.00024,0.25547,0.00201,0.00049,7e-05,3.16753,4.27019,3.81384,3.09054,0,0,0,0.000787643,0.000787643,0.000787643
35,243.197,3.08874,4.30014,4.2008,2.9957,0,0,0,0.00096,0.07727,0.00339,0.00061,0.00064,0.04119,0.0017,0.00024,3.14329,4.23786,3.78281,3.06929,0,0,0,0.000786269,0.000786269,0.000786269
36,249.98,3.19235,4.28854,4.14711,3.01702,0,0,0,0.00112,0.07669,0.00357,0.0005,0.00083,0.0434,0.00099,0.00019,3.1373,4.23781,3.78464,3.0265,0,0,0,0.000784894,0.000784894,0.000784894
37,256.701,3.07691,4.30209,4.21965,2.99957,0,0,0,0.25233,0.00502,0.00133,0.00025,0.1261,0.00803,0.00063,0.00011,3.10007,4.22897,3.77546,2.97548,0,0,0,0.00078352,0.00078352,0.00078352
38,263.561,3.06998,4.3362,4.12716,2.97301,0,0,0,0.25219,0.01806,0.00161,0.00036,0.25164,0.01545,0.00122,0.00028,3.11012,4.24913,3.76721,2.97919,0,0,0,0.000782145,0.000782145,0.000782145
39,270.331,3.0759,4.24533,4.20485,2.93832,0,0,0,0.37844,0.00642,0.002,0.00047,0.38013,0.00361,0.00158,0.00042,3.09896,4.19333,3.78421,2.9186,0,0,0,0.000780771,0.000780771,0.000780771
40,277.135,3.11779,4.24918,4.05698,2.92554,0,0,0,0.39404,0.00241,0.0025,0.00063,0.0017,0.07933,0.01176,0.00139,3.07392,4.20999,3.69642,2.96226,0,0,0,0.000779396,0.000779396,0.000779396
41,283.877,3.04031,4.23652,4.15084,2.89523,0,0,0,0.00099,0.08856,0.00256,0.00062,0.00182,0.08439,0.00935,0.00114,3.05682,4.23009,3.69521,2.95772,0,0,0,0.000778022,0.000778022,0.000778022
42,290.628,3.01155,4.22335,4.05623,2.85071,0,0,0,0.01594,0.0363,0.00214,0.00053,0.00074,0.05325,0.00093,0.00024,3.05678,4.17055,3.77716,2.86108,0,0,0,0.000776648,0.000776648,0.000776648
43,297.527,3.04824,4.21504,4.16144,2.86159,0,0,0,0.12793,0.03612,0.00178,0.00056,0.37875,0.00301,0.00095,0.00028,3.03092,4.19922,3.73842,2.8582,0,0,0,0.000775273,0.000775273,0.000775273
44,304.088,3.02681,4.24148,4.13666,2.80224,0,0,0,0.38505,0.00161,0.00566,0.00107,0.38631,0.00161,0.00257,0.00047,3.08177,4.17844,3.66579,2.85279,0,0,0,0.000773899,0.000773899,0.000773899
45,310.663,3.03704,4.14928,4.09355,2.84736,0,0,0,0.00194,0.18642,0.00628,0.00106,0.00166,0.1503,0.00422,0.00106,3.05037,4.16366,3.69256,2.92191,0,0,0,0.000772524,0.000772524,0.000772524
46,317.499,2.98832,4.1951,4.11663,2.8642,0,0,0,0.50449,0.02789,0.0033,0.00069,0.50459,0.00903,0.00414,0.00069,3.01267,4.1781,3.65896,2.9096,0,0,0,0.00077115,0.00077115,0.00077115
47,324.13,2.95167,4.16882,4.02494,2.76025,0,0,0,0.38778,0.00522,0.00349,0.00082,0.38728,0.00502,0.00225,0.00046,3.00069,4.14628,3.61562,2.84715,0,0,0,0.000769775,0.000769775,0.000769775
