epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
8,59.9703,2.3045,3.75978,3.60941,1.84972,0,0,0,0.86782,0.01304,0.02017,0.00698,0.7723,0.01083,0.00862,0.0026,2.41666,4.37526,3.26671,1.96048,0,0,0,0.000823379,0.000823379,0.000823379
9,66.3266,2.21633,3.76213,3.48943,1.78418,0,0,0,0.75146,0.01082,0.01619,0.00559,0.64219,0.01003,0.0099,0.00318,2.38025,4.20314,3.28884,1.89748,0,0,0,0.000822004,0.000822004,0.000822004
10,73.0263,2.24732,3.7485,3.26954,1.76319,0,0,0,0.673,0.02127,0.03033,0.00952,0.6601,0.01465,0.01065,0.00336,2.42408,4.10018,3.29673,1.90805,0,0,0,0.00082063,0.00082063,0.00082063
11,79.632,2.25611,3.79652,3.35883,1.81495,0,0,0,0.67868,0.06382,0.08564,0.02179,0.66109,0.02817,0.01356,0.00398,2.35225,4.00568,3.08739,2.00256,0,0,0,0.000819255,0.000819255,0.000819255
12,86.2044,2.16376,3.73275,3.23571,1.76557,0,0,0,0.66764,0.04894,0.11381,0.03942,0.66057,0.04387,0.07292,0.02038,2.33213,3.80759,3.1654,1.99436,0,0,0,0.000817881,0.000817881,0.000817881
13,92.8087,2.23566,3.64686,3.15106,1.74364,0,0,0,0.54794,0.0712,0.13077,0.05153,0.53492,0.04197,0.01792,0.00542,2.30215,3.95554,3.01166,1.97347,0,0,0,0.000816507,0.000816507,0.000816507
14,99.2923,2.25698,3.71678,3.2434,1.78382,0,0,0,0.68719,0.07849,0.13105,0.05223,0.67819,0.0453,0.03676,0.01034,2.27767,3.85732,2.87058,1.93263,0,0,0,0.000815132,0.000815132,0.000815132
15,105.78,2.15138,3.58581,3.21748,1.73942,0,0,0,0.60781,0.08686,0.06759,0.02763,0.53858,0.05147,0.03478,0.01221,2.27621,3.90631,2.8304,1.87605,0,0,0,0.000813758,0.000813758,0.000813758
16,113.442,2.12551,3.672,3.06174,1.72415,0,0,0,0.40929,0.10131,0.08396,0.03178,0.53948,0.04686,0.03418,0.00998,2.1918,3.92088,2.8507,1.85226,0,0,0,0.000812383,0.000812383,0.000812383
17,119.921,2.12506,3.62646,2.97319,1.73414,0,0,0,0.35724,0.13257,0.11771,0.04824,0.31236,0.10692,0.08248,0.02428,2.21001,3.71832,2.81364,1.8581,0,0,0,0.000811009,0.000811009,0.000811009
