epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6978,3.8496,6.7368,5.2726,4.20209,0,0,0,4e-05,0.001,0,0,0.0001,0.00738,0,0,3.88972,5.21037,4.31079,4.1584,0,0,0,0.00012495,0.00012495,0.00012495
2,20.1587,3.97959,6.21356,5.28849,4.18193,0,0,0,0.00013,0.00741,0,0,0.00012,0.00778,0,0,3.8885,5.19486,4.30593,4.15362,0,0,0,0.000257804,0.000257804,0.000257804
3,26.7729,4.03786,5.48208,5.22254,4.16716,0,0,0,0.00012,0.00901,1e-05,0,0.00013,0.00758,1e-05,0,3.886,5.12798,4.29138,4.1381,0,0,0,0.000390218,0.000390218,0.000390218
4,33.2766,3.87381,4.99592,5.07826,4.13005,0,0,0,0.00022,0.10553,0.0001,8e-05,0.00015,0.06688,0.00019,3e-05,3.87494,4.93106,4.25526,4.10032,0,0,0,0.000522192,0.000522192,0.000522192
5,39.736,3.9266,4.61109,5.0439,4.08606,0,0,0,0.00022,0.02934,3e-05,1e-05,0.00016,0.0108,1e-05,0,3.85721,4.60236,4.21554,4.04889,0,0,0,0.000653727,0.000653727,0.000653727
6,46.1277,3.91218,4.41796,5.01183,4.0427,0,0,0,0.00016,0.01598,1e-05,0,0.00013,0.01078,1e-05,0,3.85823,4.42223,4.16902,4.00132,0,0,0,0.000784821,0.000784821,0.000784821
7,52.5512,3.90383,4.4687,4.9269,4.01147,0,0,0,0.00018,0.01879,3e-05,1e-05,0.00015,0.01297,2e-05,0,3.85942,4.40468,4.17215,3.93563,0,0,0,0.000824753,0.000824753,0.000824753
8,58.8937,3.88736,4.42738,4.9468,3.94531,0,0,0,0.00015,0.03742,4e-05,1e-05,0.00021,0.04483,3e-05,0,3.84681,4.45546,4.16697,4.05007,0,0,0,0.000823379,0.000823379,0.000823379
9,65.3258,3.85171,4.37612,4.84238,3.90045,0,0,0,0.00013,0.00638,3e-05,1e-05,0.00013,0.01121,3e-05,1e-05,3.8082,4.68091,4.19016,4.10203,0,0,0,0.000822004,0.000822004,0.000822004
10,71.6507,3.78276,4.45836,4.77791,3.81014,0,0,0,0.00044,0.06963,0.00019,4e-05,0.00025,0.01718,1e-05,0,3.8445,5.52799,4.38637,4.16504,0,0,0,0.00082063,0.00082063,0.00082063
11,77.9819,3.80168,4.50023,4.70501,3.75086,0,0,0,0.00028,0.10978,0.00017,3e-05,0.00026,0.07429,0.0001,2e-05,3.87126,5.12747,4.29154,4.01706,0,0,0,0.000819255,0.000819255,0.000819255
12,84.3777,3.68957,4.44844,4.63678,3.67654,0,0,0,0.00043,0.12136,0.00033,5e-05,0.00033,0.07911,0.00027,4e-05,3.76018,5.18028,4.09712,3.87493,0,0,0,0.000817881,0.000817881,0.000817881
13,90.7596,3.77224,4.43683,4.66755,3.64178,0,0,0,0.00034,0.02404,4e-05,1e-05,0.00027,0.01662,3e-05,1e-05,3.65628,4.48691,4.02539,3.68491,0,0,0,0.000816507,0.000816507,0.000816507
14,97.1586,3.75126,4.46781,4.68687,3.5732,0,0,0,0.00073,0.06211,0.00518,0.00206,0.00049,0.04469,0.00514,0.00205,3.54471,4.37656,3.95355,3.5712,0,0,0,0.000815132,0.000815132,0.000815132
15,103.564,3.61952,4.31824,4.67031,3.51876,0,0,0,0.00111,0.07292,0.00027,5e-05,0.00078,0.0537,0.0002,4e-05,3.48108,4.38579,3.92108,3.48111,0,0,0,0.000813758,0.000813758,0.000813758
