epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7343,3.96493,6.50006,5.16296,4.21735,0.83952,0.8403,0.85027,0.00023,0.10632,7e-05,3e-05,0.00033,0.11384,0.00011,3e-05,3.85038,5.18667,4.28168,4.15635,0,0,0,0.00012495,0.00012495,0.00012495
2,37.1984,3.92968,5.17649,5.00428,4.19469,0.83238,0.83287,0.84494,0.0002,0.10632,5e-05,2e-05,0.00029,0.11474,7e-05,2e-05,3.84959,5.09762,4.23842,4.148,0,0,0,0.000257804,0.000257804,0.000257804
3,52.7738,3.91281,4.66267,4.9291,4.15871,0.82371,0.82407,0.83642,0.00019,0.01452,5e-05,1e-05,0.00031,0.02221,3e-05,1e-05,3.84585,4.79543,4.17476,4.12334,0,0,0,0.000390218,0.000390218,0.000390218
4,68.2779,3.88057,3.65782,4.79366,4.11234,0.80991,0.81024,0.82299,0.00023,0.0618,0.00015,3e-05,0.00027,0.08184,9e-05,2e-05,3.82847,3.80971,4.20841,4.05863,0,0,0,0.000522192,0.000522192,0.000522192
5,84.3431,3.98003,3.14292,4.76137,4.0747,0.7983,0.79879,0.81101,9e-05,0.01104,0.00021,5e-05,9e-05,0.01104,1e-05,0,3.86969,3.11395,3.86496,3.97643,0,0,0,0.000653727,0.000653727,0.000653727
6,99.9009,3.94558,3.04512,4.69074,4.0224,0.78496,0.78523,0.79696,0.00016,0.03521,9e-05,2e-05,4e-05,0.01566,1e-05,0,3.89875,5.06433,4.8275,4.17942,0,0,0,0.000784821,0.000784821,0.000784821
7,115.696,3.92129,3.00735,4.54714,3.98456,0.77184,0.7721,0.78397,0.00015,0.0124,5e-05,1e-05,0,0,0,0,3.81093,11.7143,4.52324,3.97557,0,0,0,0.000824753,0.000824753,0.000824753
8,131.317,3.8014,3.05494,4.573,3.88051,0.75831,0.75777,0.76947,0.00016,0.03106,7e-05,2e-05,1e-05,0.00083,0,0,3.88591,8.11609,4.11198,4.60011,0,0,0,0.000823379,0.000823379,0.000823379
9,146.703,3.77399,2.9584,4.49416,3.82936,0.74455,0.74482,0.75768,0.00037,0.03887,9e-05,4e-05,0.00037,0.02026,5e-05,1e-05,3.71987,3.83228,4.19739,4.05183,0,0,0,0.000822004,0.000822004,0.000822004
10,162.096,3.63044,2.82352,4.39015,3.74601,0.7288,0.7297,0.74121,0.00059,0.02583,5e-05,1e-05,0.00047,0.02015,5e-05,1e-05,3.65426,2.80245,4.22155,3.97879,0,0,0,0.00082063,0.00082063,0.00082063
